时间,连通分量,城市
20200105,0,"['定西', '兰州', '白银', '临夏回族自治州', '天水', '武威', '西安', '陇南', '西宁', '平凉', '海东', '张掖', '南宁', '河池', '柳州', '百色', '宜春', '新余', '南昌', '沈阳', '营口', '大连', '鞍山', '盘锦', '北京', '丽江', '广州', '阳江', '茂名', '江门', '佛山', '上饶', '鹰潭', '东莞', '深圳', '清远', '惠州', '中山', '肇庆', '珠海', '韶关', '湛江', '梅州', '云浮', '河源', '汕头', '长沙', '揭阳', '上海', '衡阳', '汕尾', '赣州', '武汉', '郴州', '潮州', '成都', '桂林', '重庆', '厦门', '常德', '益阳', '张家界', '荆州', '大理白族自治州', '昆明', '潜江', '哈尔滨', '齐齐哈尔', '呼伦贝尔', '大庆', '黑河', '兴安盟', '娄底', '邵阳', '湘潭', '晋中', '太原', '吕梁', '忻州', '临汾', '运城', '大同', '长治', '朔州', '阳泉', '鄂州', '黄石', '黄冈', '宁波', '舟山', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '丹东', '通辽', '朝阳', '长春', '葫芦岛', '四平', '萍乡', '株洲', '凉山彝族自治州', '攀枝花', '昭通', '来宾', '晋城', '宜宾', '毕节', '金华', '曲靖', '绥化', '乐山', '眉山', '贵阳', '安顺', '六盘水', '黔西南布依族苗族自治州', '黔南布依族苗族自治州', '郑州', '安阳', '鹤壁', '新乡', '濮阳', '邯郸', '济南', '泰安', '济宁', '临沂', '青岛', '淄博', '镇江', '南京', '滁州', '马鞍山', '扬州', '淮安', '常州', '苏州', '无锡', '南通', '泰州', '徐州', '宿迁', '合肥', '盐城', '芜湖', '杭州', '连云港', '宣城', '蚌埠', '吉安', '九江', '抚州', '呼和浩特', '乌兰察布', '包头', '锡林郭勒盟', '张家口', '金昌', '唐山', '秦皇岛', '天津', '岳阳', '永州', '怀化', '湘西土家族苗族自治州', '潍坊', '东营', '烟台', '日照', '滨州', '景德镇', '温州', '台州', '丽水', '宁德', '德州', '聊城', '菏泽', '枣庄', '威海', '铜陵', '安庆', '池州', '玉溪', '红河哈尼族彝族自治州', '孝感', '咸宁', '襄阳', '荆门', '随州', '宜昌', '仙桃', '信阳', '十堰', '天门', '恩施土家族苗族自治州', '衢州', '赤峰', '广安', '遵义', '达州', '泸州', '南充', '内江', '遂宁', '铜仁', '泉州', '资阳', '嘉兴', '绵阳', '自贡', '阜阳', '亳州', '淮南', '周口', '六安', '驻马店', '保定', '石家庄', '邢台', '衡水', '沧州', '廊坊', '承德', '宝鸡', '咸阳', '贺州', '焦作', '开封', '湖州', '楚雄彝族自治州', '松原', '白城', '普洱', '西双版纳傣族自治州', '济源', '汉中', '巴彦淖尔', '鄂尔多斯', '乌海', '佳木斯', '双鸭山', '鹤岗', '绍兴', '钦州', '北海', '防城港', '玉林', '雅安', '伊春', '保山', '德宏傣族景颇族自治州', '梧州', '贵港', '商丘', '许昌', '龙岩', '漳州', '福州', '海南藏族自治州', '文山壮族苗族自治州', '临沧', '洛阳', '德阳', '阿坝藏族羌族自治州', '广元', '甘孜藏族自治州', '巴中', '宿州', '淮北', '莆田', '南平', '三明', '吉林', '延边朝鲜族自治州', '通化', '辽源', '白山', '榆林', '延安', '渭南', '商洛', '安康', '铜川', '庆阳', '平顶山', '漯河', '三门峡', '崇左', '思茅', '南阳', '黔东南苗族侗族自治州', '鸡西', '牡丹江', '襄樊', '海西蒙古族藏族自治州', '海北藏族自治州']"
20200105,1,['澄迈县']
20200105,2,['定安县']
20200105,3,['临高县']
20200105,4,['屯昌县']
20200105,5,['山南']
20200105,6,['日喀则']
20200105,7,['吐鲁番']
20200105,8,['哈密']
20200106,0,"['定西', '兰州', '白银', '临夏回族自治州', '天水', '武威', '陇南', '西安', '西宁', '平凉', '海东', '张掖', '南宁', '河池', '柳州', '百色', '宜春', '新余', '南昌', '沈阳', '营口', '大连', '鞍山', '盘锦', '北京', '丽江', '广州', '阳江', '茂名', '佛山', '江门', '上饶', '鹰潭', '东莞', '深圳', '清远', '中山', '惠州', '肇庆', '珠海', '韶关', '湛江', '河源', '上海', '汕头', '长沙', '梅州', '揭阳', '云浮', '衡阳', '汕尾', '武汉', '赣州', '成都', '郴州', '重庆', '常德', '益阳', '张家界', '大理白族自治州', '昆明', '潜江', '荆州', '哈尔滨', '齐齐哈尔', '呼伦贝尔', '大庆', '黑河', '兴安盟', '娄底', '邵阳', '湘潭', '晋中', '太原', '吕梁', '忻州', '临汾', '长治', '运城', '阳泉', '大同', '朔州', '石家庄', '鄂州', '黄石', '黄冈', '温州', '宁波', '舟山', '杭州', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '丹东', '长春', '通辽', '朝阳', '葫芦岛', '萍乡', '株洲', '凉山彝族自治州', '攀枝花', '昭通', '来宾', '桂林', '晋城', '宜宾', '毕节', '金华', '曲靖', '绥化', '乐山', '眉山', '贵阳', '安顺', '六盘水', '黔南布依族苗族自治州', '黔西南布依族苗族自治州', '郑州', '安阳', '鹤壁', '濮阳', '新乡', '邯郸', '济南', '泰安', '济宁', '临沂', '青岛', '淄博', '镇江', '南京', '滁州', '马鞍山', '扬州', '苏州', '淮安', '常州', '无锡', '徐州', '合肥', '宿迁', '泰州', '南通', '盐城', '芜湖', '宣城', '连云港', '吉安', '九江', '泉州', '呼和浩特', '乌兰察布', '包头', '唐山', '秦皇岛', '天津', '岳阳', '永州', '怀化', '湘西土家族苗族自治州', '潍坊', '东营', '烟台', '日照', '滨州', '抚州', '景德镇', '台州', '丽水', '宁德', '绍兴', '德州', '聊城', '菏泽', '枣庄', '威海', '铜陵', '安庆', '池州', '玉溪', '红河哈尼族彝族自治州', '孝感', '咸宁', '襄阳', '宜昌', '随州', '荆门', '仙桃', '十堰', '信阳', '天门', '恩施土家族苗族自治州', '衢州', '赤峰', '锡林郭勒盟', '广安', '遵义', '达州', '泸州', '南充', '内江', '铜仁', '遂宁', '嘉兴', '资阳', '福州', '绵阳', '阜阳', '亳州', '淮南', '周口', '六安', '保定', '邢台', '衡水', '沧州', '廊坊', '张家口', '承德', '宝鸡', '咸阳', '贺州', '焦作', '开封', '湖州', '楚雄彝族自治州', '松原', '白城', '普洱', '西双版纳傣族自治州', '济源', '汉中', '巴彦淖尔', '佳木斯', '双鸭山', '鹤岗', '钦州', '北海', '防城港', '雅安', '甘孜藏族自治州', '伊春', '保山', '德宏傣族景颇族自治州', '梧州', '贵港', '商丘', '厦门', '龙岩', '漳州', '海南藏族自治州', '文山壮族苗族自治州', '临沧', '洛阳', '德阳', '阿坝藏族羌族自治州', '自贡', '广元', '巴中', '蚌埠', '宿州', '淮北', '莆田', '南平', '三明', '吉林', '延边朝鲜族自治州', '玉林', '通化', '辽源', '白山', '榆林', '鄂尔多斯', '延安', '渭南', '商洛', '安康', '铜川', '庆阳', '许昌', '平顶山', '漯河', '三门峡', '崇左', '思茅', '驻马店', '四平', '南阳', '黔东南苗族侗族自治州', '乌海', '鸡西', '襄樊', '牡丹江', '潮州', '金昌', '海西蒙古族藏族自治州', '海北藏族自治州']"
