,段起点,段止点,w
396,盘古路桥,友谊支路,0.3375959079283887
397,友谊支路,团结路,0.452385304331932
398,东林路,盘古路桥,0.34797891036906853
399,铁力路,铁路,0.45611015490533563
400,牡丹江路,樟岭路,0.4274626865671642
401,新吴泾河桥,铁峰路,0.2542056074766355
402,铁峰路,铁山路,0.2374483007856942
403,铁山路,江杨北路,0.21616144557966732
404,江杨北路,西长浜桥,0.20265658458244112
405,西长浜桥,月明路,0.23441191360107996
406,锦怡宾馆,顾泾河,0.0
407,石太路,顾泾河,0.0
408,顾泾河,盛桥一村东门,0.0
409,同泰北路,同济路,0.19208809135399674
410,国权北路,吉浦路,0.41818181818181815
411,四元路,马路河桥,0.38626339004410837
412,马路河桥,绥化路,0.37484213185147763
413,北街,练祁河,0.0
414,三泉路,长临路,0.0
415,长江西路,共康路,0.4192047791597297
416,场北路,长江西路,0.27274826789838336
417,同泰路,班溪路,0.23728813559322035
418,沪太支路,界华路,0.3
419,界华路,大场医院,0.3
420,盛桥老街,顾泾河30弄,0.0
421,顾泾河,弄内,0.0
422,杨盛河桥东路,桥边东路,0.0
423,顾泾河,盛桥中学,0.0
424,盛桥街,顾泾河,0.0
425,桥边西路,粮管所,0.0
426,市一路,北街,0.0
427,市一路,亭前街,0.0
428,镇东路,义学桥,0.375
429,南弄街大通桥,新桥街义学桥,0.0
430,新桥街义学桥,塘西街,0.0
431,沪太路,场中路,0.2631578947368421
432,牡丹江路,双庆路,0.3151201543588844
433,宝东路,淞宝路,0.3428317225072823
434,淞宝路,永清路,0.3018340270551509
435,双庆路,同济路,0.3122043519394513
436,永清路,牡丹江路,0.24506302521008402
437,塘后路,宝东路,0.23096110170270304
438,宝杨路,海江路,0.3644859813084112
439,海江路,永乐路,0.37572254335260113
440,永乐路,双城路,0.4590356722853783
441,马路河桥,龙镇路,0.435565154787617
442,江杨北路,马路河桥,0.22416107382550335
443,跨线桥东,辅道,0.375
444,辅道,跨线桥西,0.255020327707281
445,同济路,铁力路,0.17142857142857143
446,铁力路,铁峰路,0.16903096903096904
447,铁峰路,铁山路,0.1890632838816025
448,铁山路,跨线桥东,0.18514531754574812
449,淞青路,永清路,0.32238307349665923
450,杨泰路,杨盛河桥,0.17989671002295332
451,梅林路,蕰川路（与路政局交界处）,0.1816009557945042
452,杨盛河桥,梅林路,0.17148760330578514
453,跨线桥西,杨泰路,0.17156225630361321
454,塘后路,淞宝路,0.366412213740458
455,牡丹江路,同泰北路,0.24665523156089195
456,同泰北路,同济路,0.2746059544658494
457,永清路,牡丹江路,0.3073161897863093
458,蕰川路,富长路,0.3775375042355913
459,富联路,泰和新城,0.23809523809523808
460,邓家弄,石驳岸路,0.0
461,宝泉路,庆安路,0.5683905268245529
462,江杨北路,春雷路,0.40145845327192475
463,德都路,杨盛河桥,0.40197841726618705
464,庆安路,德都路,0.4849862035383866
465,春雷路,四元路马路河桥,0.5327188940092166
466,马路河桥,宝泉路,0.48104395604395606
467,泗东路,八棉新村、泗东新村,0.0
468,泰和路,淞浦路,0.2534856700232378
469,杨鑫路,水产路,0.301934350692306
470,桃园港桥,杨鑫路,0.32880544295095177
471,宝杨路,桃园港桥,0.3909615188322956
472,水产路,莲花山路,0.3034940708003326
473,镇新路,宝杨路,0.3089005235602094
474,镇泰路,镇新路,0.3119266055045872
475,竹艺路,镇泰路,0.28991992463495053
476,永清路,牡丹江路,0.2734121464997682
477,宝杨路,海江路,0.2857142857142857
478,塘后路,永清路,0.4723533378287256
479,淞青路,塘后路,0.2857142857142857
480,双城路,淞青路,0.2857142857142857
481,永乐路,双城路,0.2857142857142857
482,海江路,永乐路,0.2856880733944954
483,淞宝路,宝工后门,0.47619047619047616
484,淞桥西路,淞滨支路,0.36
485,淞浦路/化成路,牡丹江路,0.44245628304188694
486,北兴路,同泰路,0.5524058187243566
487,牡丹江路,北兴路,0.4284202169886213
488,同济路,淞桥西路,0.29844559585492225
489,同泰路,同济路,0.46676537052910466
490,淞滨路283弄,和丰路,0.5243553008595988
491,泰和路,淞兴西路,0.3850522783012779
492,南泗塘桥,淞南路,0.28924669350201265
493,逸仙路,南泗塘桥,0.2860557768924303
494,淞肇路,长江南路,0.2509556012937371
495,淞南路,淞良路,0.34670781893004116
496,淞良路,卫生科路,0.3223570190641248
497,卫生科路,淞肇路,0.32098765432098764
498,长逸路,淞塘路,0.25
499,淞塘路,逸仙路,0.375
500,淞滨路,淞兴路,0.2727272727272727
501,步行街（西）,淞桥东路,0.3333333333333333
502,淞兴路,步行街(东),0.1875
503,淞桥东路,同济路,0.40627580511973577
504,同济路,泗东路,0.39436619718309857
505,淞滨路,淞兴路,0.5282600664942741
506,淞兴路,淞浦路,0.376392901361948
507,淞滨路,淞兴西路,0.4614935822637106
508,淞宝路,永清路,0.27586206896551724
509,淞良路,长江南路,0.3333333333333333
510,淞桥东路,同济路,0.350210970464135
511,淞浦路,昌北路西围墙,0.2631941709334384
512,同济路,淞桥西路,0.2673208444840916
513,淞桥西路,淞滨支路,0.27916331456154464
514,长逸路,淞发路,0.3984566275141786
515,淞发路,长江南路,0.4471373875879263
516,长江南路,长江西路,0.375
517,江杨北路(与宝山公路交界,春雷路,0.4627032607760475
518,春雷路,庆安路,0.394341290893015
519,庆安路,德都路,0.40998487140695916
520,顾泾河桥,古莲路,0.36363636363636365
521,古莲路,月川路,0.3885678588161799
522,石太路,顾泾河桥,0.36363636363636365
523,江杨北路,蕰川路（与路政局交界处）,0.21073904092772017
524,泰兴桥,江杨北路,0.10424369415190074
525,牡丹江路,同泰北路,0.11839718573077557
526,同泰北路,同济路,0.22575387123064386
527,化成路,牡丹江路,0.10772011909825606
528,同济路,泰兴桥,0.12435909216208765
529,同泰北路,仓库,0.10515021459227468
530,建委大门口,泰和路,0.0
531,淞滨支路,泗东路,0.0
532,化肥厂,玻璃厂,0.3333333333333333
533,泰和路,黄泥塘桥,0.27936333699231614
534,黄泥塘桥,沥青厂,0.27564655172413793
535,717弄99号,泰和路,0.0
536,仓库,幼儿园,0.0
537,幼儿园,东西巷街,0.0
538,罗店横街,市一路,0.0
539,市一路,亭前街,0.0
540,水产路,淞宝路,0.3620719624543716
541,双城路,水产路,0.25
542,海江路,永乐路,0.39521924035782374
543,永乐路,双城路,0.4048811013767209
544,连祁河桥,市一路,0.5333333333333333
545,市一路,罗升路,0.5333333333333333
546,祁北路,连祁河桥,0.5333333333333333
547,泰和路,桃园新村,0.0
548,泰和路,南汀路,0.24057860677578988
549,兰岗路,宝杨路,0.32258001735996233
550,宝杨路,铁通路,0.3225806451612903
551,铁通路,友谊路,0.3225858683992147
552,湄浦河桥,湄浦路,0.24209626886926802
553,盘古路,湄浦河桥,0.275049115913556
554,友谊路,盘古路,0.24525297072154845
555,泰和路,吴淞化肥厂,0.336950314106225
556,盘古路,友谊路,0.3333333333333333
557,友谊路,五厂铁路,0.17401556236736618
558,湄浦路,盘古路,0.3335172582919502
559,富锦路,湄浦路,0.22224781206817135
560,五厂铁路,宝杨路,0.17044897959183675
561,宝杨路,水产路,0.17435024125207801
562,水产路,泰和路,0.17576419213973798
563,友谊路,盘古路,0.21229215663700804
564,跨线桥,宝杨路,0.18024523160762942
565,湄浦河桥,盘古路,0.12848649295718448
566,湄浦路,湄浦河桥,0.16322408886440834
567,友谊路,跨线桥,0.1573267247581741
568,水产路,泰和路,0.16673800061143382
569,泰和路,宝山交通集团铁山路码头,0.2541244135008324
570,宝杨路,水产路,0.16145424308218229
571,友云路,铁山路,0.20964396819910128
572,罗溪路,镇东路,0.27471986208595
573,东南弄,塘西街,0.0
574,新桥路,小三元桥,0.3785033227390927
575,塘西街,新桥路,0.0
576,镇东路,东南弄,0.0
577,长江西路,共江路,0.3867963405588066
578,呼玛路,长江西路,0.3768659973810563
579,共江路,一二八纪念路,0.36619718309859156
580,呼兰路,呼玛路,0.3020497466605251
581,一二八纪念路,部队弹药库围墙,0.39747899159663863
582,规划路（围墙）,呼兰路,0.3488372093023256
583,民悦苑北门,呼玛路,0.0
584,长江南路,新二路,0.2676184690157959
585,新二路,江杨南路,0.26807491289198604
586,友谊路,市河桥,0.20350291909924936
587,市河桥,宝杨路,0.18565603262173183
588,宝杨路,双城路,0.14496300512236768
589,水产路,同济支路,0.14002734764773273
590,淞滨路,淞兴路,0.1323529411764706
591,淞兴路,淞浦路,0.08394772117962467
592,泰和路,淞滨路,0.166911644618651
593,双城路,水产路,0.19030154849225753
594,同济支路,泰和路,0.21010443562372347
595,马路河桥,富锦路,0.0
596,富锦路,漠河路,0.2614525900211013
597,漠河路,盘古路,0.1710628898128898
598,盘古路,友谊路,0.19206241519674355
599,同泰北路,同济路,0.32891832229580575
600,牡丹江路,同泰北路,0.3321616871704745
601,水产路,同济支路,0.4
602,同济支路,泰和路,0.383969465648855
603,泰和路,淞滨路,0.3487109905020353
604,淞滨路,淞兴路,0.3
605,海滨物业招待所,同泰北路,0.029692470837751856
606,友谊路,密山路,0.47238569488456317
607,漠河路,盘古路,0.4892403162846562
608,盘古路,友谊路,0.4583177570093458
609,王家桥,耶稣堂,0.0
610,上大路,环镇北路,0.25386925386925385
611,三门路,青石路,0.3333333333333333
612,蕰藻浜,逸仙路,0.23541932737335036
613,桥南东辅道,安达,0.33121019108280253
614,泰和路,淞滨路,0.0
615,宝杨路（东）,叉口（Y交点）,0.19114046720391717
616,宝杨路（西）,西随塘河桥,0.20021470746108427
617,西随塘河桥,叉口（Y交点）,0.1875
618,叉口（Y交点）,密山东路,0.1790172255970708
619,密山东路,盘古路,0.21121332749239727
620,同济路,泰和路,0.2078239608801956
621,塘后路,部队,0.36798528058877644
622,真华路,真金路(与普陀交界处),0.3967420814479638
623,宝钢四村小区门口,友谊支路,0.4925512104283054
624,友谊支路,宝城一村小区门口,0.4639690472352088
625,方正路,团结路,0.5139318885448917
626,东西巷街,王家桥,0.0
627,同济路,新村路,0.0
628,新村围墙,县佑街,0.5393603936039361
629,县前街,友谊路,0.3851239669421488
630,富锦路,东太路,0.4166666666666667
631,通南路,高境界,0.2554058844381425
632,淞南界,殷高西路,0.40656344838228486
633,亭前街,花园弄,0.0
634,花园弄,东西巷街,0.0
635,顾新路,沪太路,0.42857142857142855
636,新桥路,罗升路,0.0
637,沪太路（与静安交界处）,大华路,0.3700993676603433
638,大华路,真华路,0.35175267770204477
639,真华路,真金路,0.3724920802534319
640,一二八纪念路,共康东路,0.4316154088380393
641,共康东路,静安交界,0.42354368932038833
642,一二八纪念路,共康东路,0.47699757869249393
643,共康东路,静安交界,0.47028717657094116
644,宝杨路,杨桃路,0.0
645,友谊路,庵木港桥,0.24086405717070003
